38362,822505,60106
39673,822547,60107
39674,822548,60108
39676,902039,60109
39677,852766,60110
39678,899613,60111
39679,899615,60112
39680,899616,60113
39681,899617,60114
39675,899622,60115
39675,899621,60116
39675,899622,60116
39675,899623,60116
39675,899624,60116
39675,899625,60116
39675,899626,60116
39675,899627,60116
39675,899628,60116
39675,899629,60116
39675,899630,60116
39675,899631,60116
39675,899632,60116
39675,899633,60116
39675,899634,60116
39675,899635,60116
39675,899636,60116
39675,899637,60116
39675,899638,60116
899639,60116,
899640,60116,
899641,60116,
899642,60116,
899643,60116,
899644,60116,
899645,60116,
