timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1669133923870,96,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,96,0,0
1669133924825,44,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,43,0,0
1669133924825,48,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,48,0,0
1669133924825,137,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,137,0,0
1669133924826,149,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-9,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,149,0,88
1669133925795,66,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-7,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,66,0,0
1669133925796,77,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,77,0,0
1669133925796,269,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,269,0,99
1669133925796,272,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,true,,522,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,272,0,91
1669133926065,99,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,99,0,0
1669133926693,171,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,526,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,171,0,93
1669133926693,182,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,182,0,93
1669133926865,32,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,32,0,0
1669133927310,153,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,153,0,89
1669133927310,164,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-7,text,true,,521,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,164,0,93
1669133927474,96,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-7,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,96,0,0
1669133928250,33,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,32,0,0
1669133928251,128,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,128,0,96
1669133928803,60,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,60,0,0
1669133928803,70,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-9,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,69,0,0
1669133929171,110,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,110,0,74
